GO:0016802	trialkylsulfonium hydrolase activity	AAEL008341 AAEL005524
GO:0006289	nucleotide-excision repair	AAEL013313 AAEL002077 AAEL008148 AAEL006356 AAEL012750 AAEL003893 AAEL018259 AAEL012523 AAEL003897 AAEL013179 AAEL007056 AAEL011057 AAEL013205 AAEL000404 AAEL012900 AAEL003868 AAEL012991 AAEL012891
GO:0034773	histone H4-K20 trimethylation	AAEL008027
GO:0050830	defense response to Gram-positive bacterium	AAEL003841
GO:0034770	histone H4-K20 methylation	AAEL008027
GO:0004630	phospholipase D activity	AAEL000264
GO:0009887	animal organ morphogenesis	AAEL001220
GO:0005952	cAMP-dependent protein kinase complex	AAEL002277 AAEL009216
GO:0097485	neuron projection guidance	AAEL007250 AAEL013969 AAEL011432 AAEL014597
GO:0005956	protein kinase CK2 complex	AAEL017447
GO:0097480	establishment of synaptic vesicle localization	AAEL004812
GO:0015889	cobalamin transport	AAEL000176
GO:0006570	tyrosine metabolic process	AAEL013637
GO:0006573	valine metabolic process	AAEL001134
GO:0006574	valine catabolic process	AAEL013904 AAEL010008
GO:0006575	cellular modified amino acid metabolic process	AAEL010935 AAEL004240 AAEL010936 AAEL011824 AAEL011823 AAEL011822 AAEL015391 AAEL015561 AAEL017331 AAEL014580
GO:0006576	cellular biogenic amine metabolic process	AAEL010071
GO:0003796	lysozyme activity	AAEL003723 AAEL009670 AAEL001485 AAEL003712 AAEL000277 AAEL015404 AAEL017132 AAEL010100
GO:0006578	amino-acid betaine biosynthetic process	AAEL009731
GO:0040029	regulation of gene expression, epigenetic	AAEL000787
GO:0042083	5,10-methylenetetrahydrofolate-dependent methyltransferase activity	AAEL013305
GO:0006370	7-methylguanosine mRNA capping	AAEL006135 AAEL013813 AAEL009839 AAEL011759 AAEL010786 AAEL006950
GO:0030198	extracellular matrix organization	AAEL005187
GO:0006376	mRNA splice site selection	AAEL009145 AAEL011687 AAEL010612
GO:0009886	post-embryonic animal morphogenesis	AAEL001220
GO:0006378	mRNA polyadenylation	AAEL004266 AAEL000118 AAEL001371
GO:0006379	mRNA cleavage	AAEL000215 AAEL000118
GO:0043574	peroxisomal transport	AAEL006463 AAEL000895
GO:0031078	histone deacetylase activity (H3-K14 specific)	AAEL004586 AAEL011117 AAEL002528
GO:0031071	cysteine desulfurase activity	AAEL017987 AAEL010743
GO:0006591	ornithine metabolic process	AAEL801181 AAEL003345
GO:0006596	polyamine biosynthetic process	AAEL005694 AAEL014995 AAEL007880 AAEL000044 AAEL007887 AAEL007878
GO:0006597	spermine biosynthetic process	AAEL001378 AAEL001176
GO:0006595	polyamine metabolic process	AAEL010071
GO:1902679	negative regulation of RNA biosynthetic process	AAEL004946 AAEL002721 AAEL002450 AAEL009382 AAEL002112 AAEL010107 AAEL003615 AAEL011810 AAEL014752 AAEL014203 AAEL004146
GO:0005488	binding	AAEL007923 AAEL010948 AAEL000276 AAEL005211 AAEL000403 AAEL009039 AAEL004984 AAEL012225 AAEL003089 AAEL002175 AAEL003361 AAEL014266 AAEL014265 AAEL011329 AAEL010549 AAEL006988 AAEL010682 AAEL013334 AAEL000475 AAEL001361 AAEL004818 AAEL002345 AAEL003495 AAEL014174 AAEL008642 AAEL009775 AAEL005832 AAEL004289 AAEL011984 AAEL010069 AAEL010698 AAEL011827 AAEL014818 AAEL009168 AAEL005539 AAEL000685 AAEL004920 AAEL011762 AAEL004045 AAEL009289 AAEL012951 AAEL011735 AAEL002437 AAEL003282 AAEL006865 AAEL002924 AAEL001223 AAEL010187 AAEL002122 AAEL003036 AAEL014931 AAEL000440 AAEL005066 AAEL015016 AAEL011960 AAEL015402 AAEL001332 AAEL001238 AAEL004090 AAEL007884 AAEL009371 AAEL004719 AAEL014028 AAEL005712 AAEL018206 AAEL011201 AAEL002358 AAEL003929 AAEL012273 AAEL003923 AAEL012079 AAEL007083 AAEL009636 AAEL001322 AAEL001800 AAEL015328 AAEL009738 AAEL005465 AAEL010476 AAEL013012 AAEL010474 AAEL003605 AAEL003609 AAEL012147 AAEL002532 AAEL012286 AAEL007418 AAEL005047 AAEL001252 AAEL011392 AAEL009213 AAEL018113 AAEL008506 AAEL000815 AAEL018052 AAEL004166 AAEL009290 AAEL000952 AAEL017357 AAEL018268 AAEL009415 AAEL015512 AAEL006407 AAEL007631 AAEL014212 AAEL001977 AAEL018277 AAEL012608
GO:0070076	histone lysine demethylation	AAEL009382 AAEL011415
GO:0035556	intracellular signal transduction	AAEL010124 AAEL013328 AAEL013617 AAEL801139 AAEL002873 AAEL008390 AAEL004531 AAEL008859 AAEL004125 AAEL006806 AAEL010750 AAEL004431 AAEL017393 AAEL008739 AAEL008246 AAEL013729 AAEL005795 AAEL014179 AAEL003026 AAEL006936 AAEL004211 AAEL000062 AAEL015075 AAEL007359 AAEL006022 AAEL005330 AAEL009014 AAEL005532 AAEL014569 AAEL015372 AAEL012294 AAEL015177 AAEL001457 AAEL012730 AAEL014872 AAEL014824 AAEL013143 AAEL002727 AAEL003824 AAEL001108 AAEL005409 AAEL012814 AAEL005726 AAEL010342 AAEL002892 AAEL003756 AAEL004246 AAEL012473 AAEL010676 AAEL001034 AAEL004375 AAEL009380 AAEL011312 AAEL018321 AAEL012717 AAEL002885 AAEL013026 AAEL003208 AAEL017261 AAEL014535 AAEL006949 AAEL004474 AAEL011879 AAEL005177 AAEL018123 AAEL008234 AAEL001393 AAEL004883 AAEL011709 AAEL011318 AAEL000255 AAEL006664 AAEL014200 AAEL014202 AAEL011069 AAEL018115 AAEL000810 AAEL006268 AAEL011065 AAEL001818 AAEL007953 AAEL018059 AAEL001120 AAEL008585 AAEL011712 AAEL011715 AAEL017420 AAEL000093 AAEL013467 AAEL009344 AAEL002357 AAEL009022 AAEL004876 AAEL012988 AAEL008387 AAEL005442 AAEL005443 AAEL013858 AAEL013173
GO:1902882	regulation of response to oxidative stress	AAEL002487
GO:0072331	signal transduction by p53 class mediator	AAEL012707 AAEL003733
GO:0030071	regulation of mitotic metaphase/anaphase transition	AAEL000116 AAEL007871 AAEL003273
GO:0022833	mechanically gated channel activity	AAEL006433
GO:0042554	superoxide anion generation	AAEL002039
GO:0042555	MCM complex	AAEL010086 AAEL014524 AAEL007007 AAEL012546 AAEL000999 AAEL002810 AAEL011811
GO:0015992	proton transport	AAEL012616 AAEL012819 AAEL013302 AAEL007184
GO:0015993	molecular hydrogen transport	AAEL003729
GO:0015991	ATP hydrolysis coupled proton transport	AAEL003393 AAEL002545 AAEL006828 AAEL006516 AAEL005798 AAEL011025 AAEL008787 AAEL012175 AAEL015594 AAEL012113 AAEL002546 AAEL010819 AAEL003743 AAEL002827 AAEL012035 AAEL006390 AAEL007777 AAEL006256 AAEL005173 AAEL002464 AAEL014053 AAEL000291 AAEL012740
GO:0042558	pteridine-containing compound metabolic process	AAEL001642 AAEL001845 AAEL002898
GO:0042559	pteridine-containing compound biosynthetic process	AAEL001642 AAEL001845 AAEL002898
GO:0043142	single-stranded DNA-dependent ATPase activity	AAEL000201
GO:0009583	detection of light stimulus	AAEL009615 AAEL007389 AAEL005625 AAEL005621 AAEL005322 AAEL006259 AAEL006498 AAEL006484 AAEL003035
GO:0043140	ATP-dependent 3'-5' DNA helicase activity	AAEL004039 AAEL001794 AAEL003152
GO:0043141	ATP-dependent 5'-3' DNA helicase activity	AAEL010341 AAEL004686 AAEL017186 AAEL801243
GO:1903305	regulation of regulated secretory pathway	AAEL001167
GO:0006119	oxidative phosphorylation	AAEL018662
GO:0098602	single organism cell adhesion	AAEL005461 AAEL018342
GO:0006629	lipid metabolic process	AAEL014739 AAEL000258 AAEL010678 AAEL014218 AAEL012341 AAEL002915 AAEL001241 AAEL007063 AAEL008740 AAEL015093 AAEL005737 AAEL004278 AAEL004297 AAEL011467 AAEL012548 AAEL003052 AAEL012654 AAEL012790 AAEL012407 AAEL014352 AAEL007068 AAEL014551 AAEL012055 AAEL014553 AAEL007060 AAEL011144 AAEL002907 AAEL011918 AAEL007756 AAEL000558 AAEL007044 AAEL012813 AAEL012835 AAEL005600 AAEL018147 AAEL017291 AAEL018273 AAEL013170 AAEL012535 AAEL002909
GO:0005231	excitatory extracellular ligand-gated ion channel activity	AAEL004032 AAEL012106 AAEL008055 AAEL018308 AAEL801211 AAEL007664 AAEL004008 AAEL018352 AAEL006535 AAEL004006 AAEL010570 AAEL004061
GO:0007620	copulation	AAEL009607
GO:0098609	cell-cell adhesion	AAEL005461 AAEL018342
GO:0006625	protein targeting to peroxisome	AAEL006463 AAEL000895
GO:0006626	protein targeting to mitochondrion	AAEL801191 AAEL001039 AAEL003344
GO:0006627	protein processing involved in protein targeting to mitochondrion	AAEL003917
GO:0006621	protein retention in ER lumen	AAEL005926 AAEL002086 AAEL004958 AAEL008434
GO:0031251	PAN complex	AAEL000262
GO:0006623	protein targeting to vacuole	AAEL006142
GO:0009260	ribonucleotide biosynthetic process	AAEL001034
GO:0009263	deoxyribonucleotide biosynthetic process	AAEL013305
GO:0009262	deoxyribonucleotide metabolic process	AAEL003246 AAEL006858
GO:0009265	2'-deoxyribonucleotide biosynthetic process	AAEL013305
GO:0042438	melanin biosynthetic process	AAEL017238 AAEL006830 AAEL006985
GO:0016877	ligase activity, forming carbon-sulfur bonds	AAEL009814 AAEL000091 AAEL004607 AAEL013106 AAEL004076 AAEL015362 AAEL000758
GO:0004849	uridine kinase activity	AAEL011273
GO:0004846	urate oxidase activity	AAEL002194
GO:0043205	fibril	AAEL010066
GO:0042436	indole-containing compound catabolic process	AAEL008879
GO:0004842	ubiquitin-protein transferase activity	AAEL002306 AAEL012008 AAEL006649 AAEL009509 AAEL801265 AAEL005040 AAEL008374 AAEL010147 AAEL013454 AAEL015199 AAEL007705 AAEL012305 AAEL007333 AAEL006008 AAEL011927 AAEL011541 AAEL010256 AAEL005774 AAEL012588 AAEL005820 AAEL005826 AAEL013028 AAEL002365 AAEL011535 AAEL017357 AAEL012446 AAEL004790 AAEL011575 AAEL012500 AAEL007426 AAEL014519 AAEL008184 AAEL013705 AAEL000570 AAEL012673 AAEL007089 AAEL001205 AAEL005930 AAEL009614 AAEL008515 AAEL005320 AAEL012490 AAEL003271 AAEL007241 AAEL018336 AAEL009739 AAEL000781 AAEL004267 AAEL000648 AAEL015485 AAEL002536 AAEL010831 AAEL001610 AAEL018318 AAEL004260
GO:0036459	thiol-dependent ubiquitinyl hydrolase activity	AAEL011287 AAEL012219 AAEL009824 AAEL003517 AAEL010496 AAEL011146 AAEL013203 AAEL013253 AAEL001827 AAEL801174 AAEL012593 AAEL003733 AAEL011975 AAEL018212 AAEL011143 AAEL017159 AAEL010854 AAEL001540 AAEL002698 AAEL012146 AAEL017004
GO:0019856	pyrimidine nucleobase biosynthetic process	AAEL009475 AAEL006033 AAEL009490 AAEL008131 AAEL011309
GO:0090296	regulation of mitochondrial DNA replication	AAEL006474
GO:0030677	ribonuclease P complex	AAEL000215
GO:0050658	RNA transport	AAEL006748 AAEL004053 AAEL009839 AAEL006050
GO:0006301	postreplication repair	AAEL009851
GO:0004536	deoxyribonuclease activity	AAEL010781
GO:0004534	5'-3' exoribonuclease activity	AAEL003800
GO:0004535	poly(A)-specific ribonuclease activity	AAEL001426
GO:0004532	exoribonuclease activity	AAEL000922 AAEL001397
GO:0072594	establishment of protein localization to organelle	AAEL011657 AAEL003882 AAEL012960 AAEL010900
GO:0004531	deoxyribonuclease II activity	AAEL012418
GO:0005834	heterotrimeric G-protein complex	AAEL010676 AAEL005409 AAEL011320 AAEL006685 AAEL011475 AAEL003026
GO:0005003	ephrin receptor activity	AAEL008301
GO:0006029	proteoglycan metabolic process	AAEL000483 AAEL003533 AAEL017360 AAEL018023 AAEL005626
GO:0006750	glutathione biosynthetic process	AAEL000186 AAEL000759 AAEL008105
GO:0006023	aminoglycan biosynthetic process	AAEL003533 AAEL018023 AAEL007409 AAEL005626 AAEL004916 AAEL000483
GO:0006020	inositol metabolic process	AAEL002834
GO:0006021	inositol biosynthetic process	AAEL002834
GO:0006026	aminoglycan catabolic process	AAEL012268 AAEL013262 AAEL012370 AAEL002959 AAEL003056 AAEL010963 AAEL002972 AAEL009782 AAEL001965 AAEL006147 AAEL006349 AAEL000389 AAEL012467 AAEL003066 AAEL014667 AAEL002964 AAEL004897 AAEL005684 AAEL008570 AAEL002023 AAEL002969 AAEL008040 AAEL009758 AAEL003094 AAEL013385 AAEL011496 AAEL003110
GO:0006027	glycosaminoglycan catabolic process	AAEL018028 AAEL009474 AAEL007039 AAEL010171 AAEL012007 AAEL013710 AAEL014640 AAEL011608 AAEL017056 AAEL003037 AAEL014989 AAEL012380 AAEL011551 AAEL013112
GO:0006024	glycosaminoglycan biosynthetic process	AAEL003533 AAEL018023 AAEL007409 AAEL005626 AAEL004916 AAEL000483
GO:0006757	ATP generation from ADP	AAEL007495 AAEL012665 AAEL005766 AAEL002542 AAEL012994 AAEL016984 AAEL015624 AAEL001668 AAEL009387 AAEL006070 AAEL004988
GO:0051127	positive regulation of actin nucleation	AAEL013892
GO:0008021	synaptic vesicle	AAEL012541 AAEL004549 AAEL013529
GO:0051125	regulation of actin nucleation	AAEL007334 AAEL013768
GO:0008023	transcription elongation factor complex	AAEL006021 AAEL011636 AAEL018357 AAEL006015
GO:0008026	ATP-dependent helicase activity	AAEL014155 AAEL008035 AAEL007256 AAEL004859 AAEL008140 AAEL004716 AAEL010732 AAEL005597 AAEL013136 AAEL001618 AAEL011534 AAEL007150 AAEL001719 AAEL018344
GO:0005220	inositol 1,4,5-trisphosphate-sensitive calcium-release channel activity	AAEL003608 AAEL014637
GO:0005227	calcium activated cation channel activity	AAEL008915 AAEL018306
GO:0051128	regulation of cellular component organization	AAEL010304
GO:0044815	DNA packaging complex	AAEL003689 AAEL003850 AAEL003833 AAEL003818 AAEL003836 AAEL003814 AAEL003856 AAEL003685 AAEL003838 AAEL003851 AAEL014560 AAEL003852 AAEL006665 AAEL015677 AAEL015674 AAEL015464 AAEL000525 AAEL011906 AAEL000501 AAEL003669 AAEL015678 AAEL007925 AAEL003659 AAEL011908 AAEL012072 AAEL018018 AAEL000506 AAEL011106 AAEL003827 AAEL001165 AAEL018013 AAEL003828 AAEL011999 AAEL000517 AAEL009284 AAEL004001 AAEL009296 AAEL000494 AAEL013709 AAEL003673 AAEL000497 AAEL000490 AAEL000492 AAEL011424 AAEL010837 AAEL015675 AAEL012499 AAEL003706 AAEL003826 AAEL000518 AAEL000303 AAEL003846 AAEL003862 AAEL003863 AAEL000513 AAEL015684 AAEL015683 AAEL015682 AAEL015681 AAEL015680 AAEL010240 AAEL003820 AAEL009118 AAEL018026 AAEL015390 AAEL008385 AAEL006158 AAEL003866 AAEL007005 AAEL003687 AAEL015676 AAEL012496 AAEL010638 AAEL003823 AAEL002103 AAEL000482 AAEL007609 AAEL007783 AAEL015679
GO:0098734	macromolecule depalmitoylation	AAEL007828 AAEL015038
GO:0009187	cyclic nucleotide metabolic process	AAEL012294 AAEL011312 AAEL005330 AAEL001034 AAEL009344 AAEL018123 AAEL014569 AAEL008859 AAEL017261 AAEL801139
GO:0030915	Smc5-Smc6 complex	AAEL003756 AAEL010913 AAEL011715 AAEL002581 AAEL001425 AAEL001451
GO:0098732	macromolecule deacylation	AAEL007828 AAEL015038
GO:0009008	DNA-methyltransferase activity	AAEL006166
GO:0010008	endosome membrane	AAEL011281
GO:0009395	phospholipid catabolic process	AAEL004431
GO:0009394	2'-deoxyribonucleotide metabolic process	AAEL013305
GO:0042723	thiamine-containing compound metabolic process	AAEL006587
GO:0009396	folic acid-containing compound biosynthetic process	AAEL006085 AAEL014871 AAEL010758 AAEL010751
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	AAEL000262
GO:0000287	magnesium ion binding	AAEL010143 AAEL801190 AAEL017101 AAEL011376 AAEL006998 AAEL012576 AAEL007689 AAEL004981 AAEL000746 AAEL014449 AAEL003994 AAEL000767 AAEL003326 AAEL006363 AAEL007035 AAEL014913 AAEL004613 AAEL018130 AAEL010037 AAEL005495 AAEL011536 AAEL012549 AAEL018696 AAEL003161 AAEL010814 AAEL001668 AAEL004474 AAEL013942 AAEL014707 AAEL003193 AAEL000454 AAEL000258 AAEL004740 AAEL009154 AAEL006330 AAEL014040 AAEL005870 AAEL001199 AAEL001480 AAEL000109 AAEL009748 AAEL017532 AAEL004178
GO:0000280	nuclear division	AAEL018696 AAEL006182 AAEL011376 AAEL003416 AAEL013453 AAEL006029 AAEL011590 AAEL013826 AAEL007871 AAEL011103 AAEL000770 AAEL015375 AAEL006712 AAEL007637
GO:0000281	mitotic cytokinesis	AAEL008618
GO:0030705	cytoskeleton-dependent intracellular transport	AAEL005341
GO:0034518	RNA cap binding complex	AAEL011959
GO:0004994	somatostatin receptor activity	AAEL012920 AAEL012356
GO:0004995	tachykinin receptor activity	AAEL006947 AAEL017341
GO:0004448	isocitrate dehydrogenase activity	AAEL010143 AAEL010814 AAEL000454
GO:0004449	isocitrate dehydrogenase (NAD+) activity	AAEL010143 AAEL010814 AAEL000454
GO:0004993	G-protein coupled serotonin receptor activity	AAEL004396
GO:0006112	energy reserve metabolic process	AAEL007651 AAEL006436
GO:0008285	negative regulation of cell proliferation	AAEL004983 AAEL006018 AAEL014907
GO:0008286	insulin receptor signaling pathway	AAEL002317
GO:0008287	protein serine/threonine phosphatase complex	AAEL003015 AAEL008194 AAEL014031 AAEL014042
GO:0008280	cohesin core heterodimer	AAEL006937 AAEL005802
GO:0008283	cell proliferation	AAEL006029 AAEL012312
GO:0051013	microtubule severing	AAEL006182 AAEL005827 AAEL007637
GO:0009188	ribonucleoside diphosphate biosynthetic process	AAEL000629 AAEL012731
GO:0008289	lipid binding	AAEL005997 AAEL008805 AAEL013574 AAEL009857 AAEL005290 AAEL008789 AAEL009955 AAEL801252 AAEL003220 AAEL009169 AAEL001483 AAEL003106 AAEL003494 AAEL003570
GO:0051015	actin filament binding	AAEL009583
GO:0051014	actin filament severing	AAEL006096 AAEL006090 AAEL003855 AAEL006102 AAEL006095
GO:0006974	cellular response to DNA damage stimulus	AAEL003648
GO:0001653	peptide receptor activity	AAEL006283 AAEL012385 AAEL008566 AAEL010313
GO:0048037	cofactor binding	AAEL004297 AAEL006833
GO:0048034	heme O biosynthetic process	AAEL001479
GO:0010172	embryonic body morphogenesis	AAEL005461 AAEL018342
GO:0044255	cellular lipid metabolic process	AAEL012743 AAEL007080
GO:0048038	quinone binding	AAEL008072 AAEL011381
GO:0006979	response to oxidative stress	AAEL000376 AAEL002620 AAEL011941 AAEL003933 AAEL004390 AAEL012069 AAEL005416 AAEL000507 AAEL015354 AAEL008397 AAEL018038 AAEL000670 AAEL012481 AAEL000342 AAEL003612 AAEL004388 AAEL000495 AAEL000496 AAEL002354 AAEL017467 AAEL007563 AAEL013407 AAEL004386 AAEL006014 AAEL018292 AAEL000660 AAEL013171 AAEL004401
GO:0006896	Golgi to vacuole transport	AAEL013252 AAEL801165
GO:0008655	pyrimidine-containing compound salvage	AAEL009099
GO:1901160	primary amino compound metabolic process	AAEL017120
GO:0004197	cysteine-type endopeptidase activity	AAEL011562 AAEL008041 AAEL014348 AAEL014658 AAEL005963 AAEL005955 AAEL017498 AAEL003439 AAEL005956 AAEL014148 AAEL009637 AAEL003444 AAEL012143
GO:0004190	aspartic-type endopeptidase activity	AAEL010255 AAEL016968 AAEL017503 AAEL006169 AAEL011989 AAEL017467 AAEL004138 AAEL016998 AAEL017147 AAEL017067 AAEL008309
GO:0004663	Rab geranylgeranyltransferase activity	AAEL001334
GO:0003896	DNA primase activity	AAEL014314 AAEL004698
GO:0004661	protein geranylgeranyltransferase activity	AAEL001334
GO:0003899	DNA-directed RNA polymerase activity	AAEL017363 AAEL011701 AAEL012284 AAEL001298 AAEL001400 AAEL013457 AAEL006661 AAEL003401 AAEL801152 AAEL011866 AAEL015297 AAEL007496 AAEL001831 AAEL017317 AAEL003552 AAEL013134 AAEL008755 AAEL003786 AAEL010468 AAEL014869 AAEL017156 AAEL011087 AAEL017010 AAEL013700 AAEL007568 AAEL017213 AAEL011692 AAEL008794 AAEL010617 AAEL001847 AAEL014831
GO:0004198	calcium-dependent cysteine-type endopeptidase activity	AAEL006960 AAEL003952 AAEL018127 AAEL005472 AAEL003967 AAEL003476 AAEL003963 AAEL009196 AAEL003951 AAEL003974 AAEL003965
GO:0070993	translation preinitiation complex	AAEL013144 AAEL009617 AAEL004347 AAEL012661 AAEL012279 AAEL006851 AAEL009101 AAEL009902 AAEL007945 AAEL014715 AAEL000175 AAEL007078 AAEL006115 AAEL002334 AAEL007718
GO:0010557	positive regulation of macromolecule biosynthetic process	AAEL003926
GO:0016645	oxidoreductase activity, acting on the CH-NH group of donors	AAEL013431
GO:0010498	proteasomal protein catabolic process	AAEL002077
GO:0017174	glycine N-methyltransferase activity	AAEL012764
GO:0022406	membrane docking	AAEL010368 AAEL004417
GO:0008609	alkylglycerone-phosphate synthase activity	AAEL007789 AAEL007793 AAEL010405
GO:0003878	ATP citrate synthase activity	AAEL004297
GO:1901224	positive regulation of NIK/NF-kappaB signaling	AAEL006649
GO:0022402	cell cycle process	AAEL008863 AAEL003229 AAEL000984
GO:0022403	cell cycle phase	AAEL014408
GO:0005548	phospholipid transporter activity	AAEL012549 AAEL005495 AAEL007689 AAEL000767 AAEL004981 AAEL017532
GO:0003872	6-phosphofructokinase activity	AAEL006431 AAEL006895 AAEL017318
GO:0043631	RNA polyadenylation	AAEL005356
GO:0003870	5-aminolevulinate synthase activity	AAEL007787
GO:0008603	cAMP-dependent protein kinase regulator activity	AAEL002277 AAEL009216
GO:0003876	AMP deaminase activity	AAEL009535 AAEL015410
GO:0051302	regulation of cell division	AAEL012446 AAEL008944
GO:0051301	cell division	AAEL006182 AAEL004686 AAEL004634 AAEL005232 AAEL005962 AAEL004492 AAEL007871 AAEL010855 AAEL009611 AAEL007149 AAEL000770 AAEL007637 AAEL011819
GO:0008355	olfactory learning	AAEL005207
GO:0001726	ruffle	AAEL006222
GO:0010646	regulation of cell communication	AAEL014510 AAEL003532 AAEL006155 AAEL014187 AAEL007410 AAEL003054 AAEL801120
GO:0034724	DNA replication-independent nucleosome organization	AAEL011236 AAEL011235
GO:2000116	regulation of cysteine-type endopeptidase activity	AAEL017319
GO:2000117	negative regulation of cysteine-type endopeptidase activity	AAEL017319
GO:0017171	serine hydrolase activity	AAEL012664 AAEL012663 AAEL001424 AAEL008702 AAEL014671 AAEL009038 AAEL007764 AAEL008708 AAEL008698 AAEL008699 AAEL015110 AAEL012589 AAEL003917 AAEL004793 AAEL010912 AAEL012351 AAEL005521 AAEL015386 AAEL008373 AAEL007448 AAEL015036 AAEL012590
GO:2000112	regulation of cellular macromolecule biosynthetic process	AAEL017999 AAEL009773 AAEL012545 AAEL007474
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	AAEL005004 AAEL008050
GO:0045281	succinate dehydrogenase complex	AAEL008871
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity	AAEL002399 AAEL012579
GO:0031327	negative regulation of cellular biosynthetic process	AAEL005004 AAEL008050
GO:0015267	channel activity	AAEL014227
GO:0060548	negative regulation of cell death	AAEL002919 AAEL001501
GO:0004061	arylformamidase activity	AAEL004509
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity	AAEL007557 AAEL006457 AAEL015631
GO:0004067	asparaginase activity	AAEL002796
GO:0019211	phosphatase activator activity	AAEL001182
GO:0019213	deacetylase activity	AAEL002430
GO:0019212	phosphatase inhibitor activity	AAEL007410
GO:0019216	regulation of lipid metabolic process	AAEL011389
GO:0019219	regulation of nucleobase-containing compound metabolic process	AAEL017999 AAEL009773 AAEL012545 AAEL007474
GO:0019748	secondary metabolic process	AAEL017238 AAEL006830 AAEL006985
