#chr,cM,misassembled,old.scaffold.name,new.scaffold.name,start,end,length,cum.bp.chr,cum.bp.genome
chr1,21.535,no,supercont1.258,supercont1.258,0,1556043,1556043,77999939,77999939
chr1,21.535,no,supercont1.260,supercont1.260,0,1562005,1562005,79561944,79561944
chr1,21.535,no,supercont1.264,supercont1.264,0,1639318,1639318,81201262,81201262
chr1,21.535,no,supercont1.270,supercont1.270,0,1516553,1516553,82717815,82717815
chr1,21.535,yes,supercont1.29,supercont1.29a,0,1377634,1377634,84095449,84095449
chr1,21.535,no,supercont1.294,supercont1.294,0,1426023,1426023,85521472,85521472
chr1,21.535,no,supercont1.308,supercont1.308,0,1401467,1401467,86922939,86922939
chr1,21.535,no,supercont1.323,supercont1.323,0,1316576,1316576,88239515,88239515
chr1,21.535,no,supercont1.326,supercont1.326,0,1381451,1381451,89620966,89620966
chr1,21.535,no,supercont1.346,supercont1.346,0,1247450,1247450,90868416,90868416
chr1,21.535,no,supercont1.37,supercont1.37,0,3744586,3744586,94613002,94613002
chr1,21.535,no,supercont1.388,supercont1.388,0,1135229,1135229,95748231,95748231
chr1,21.535,no,supercont1.397,supercont1.397,0,1138263,1138263,96886494,96886494
chr1,21.535,no,supercont1.402,supercont1.402,0,1092227,1092227,97978721,97978721
chr1,21.535,no,supercont1.414,supercont1.414,0,1096716,1096716,99075437,99075437
chr1,21.535,no,supercont1.437,supercont1.437,0,993775,993775,100069212,100069212
chr1,21.535,no,supercont1.449,supercont1.449,0,988145,988145,101057357,101057357
chr1,21.535,no,supercont1.479,supercont1.479,0,900854,900854,101958211,101958211
chr1,21.535,no,supercont1.508,supercont1.508,0,920430,920430,102878641,102878641
chr1,21.535,no,supercont1.523,supercont1.523,0,826673,826673,103705314,103705314
chr1,21.535,no,supercont1.56,supercont1.56,0,3188272,3188272,106893586,106893586
chr1,21.535,yes,supercont1.567,supercont1.567c,652998,745105,92107,106985693,106985693
chr1,21.535,no,supercont1.608,supercont1.608,0,698497,698497,107684190,107684190
chr1,21.535,no,supercont1.619,supercont1.619,0,686650,686650,108370840,108370840
chr1,21.535,no,supercont1.622,supercont1.622,0,679726,679726,109050566,109050566
chr1,21.535,no,supercont1.647,supercont1.647,0,655402,655402,109705968,109705968
chr1,21.535,no,supercont1.659,supercont1.659,0,629611,629611,110335579,110335579
chr1,21.535,yes,supercont1.66,supercont1.66a,0,1853327,1853327,112188906,112188906
chr1,21.535,no,supercont1.670,supercont1.670,0,612104,612104,112801010,112801010
chr1,21.535,no,supercont1.699,supercont1.699,0,589657,589657,113390667,113390667
chr1,21.535,yes,supercont1.74,supercont1.74b,1983184,2917482,934298,114324965,114324965
chr1,21.535,no,supercont1.75,supercont1.75,0,2975254,2975254,117300219,117300219
chr1,21.535,no,supercont1.752,supercont1.752,0,534290,534290,117834509,117834509
chr1,21.535,no,supercont1.820,supercont1.820,0,471406,471406,118305915,118305915
chr1,21.535,no,supercont1.838,supercont1.838,0,478299,478299,118784214,118784214
chr1,21.535,yes,supercont1.84,supercont1.84b,2645185,2919364,274179,119058393,119058393
chr1,21.535,no,supercont1.863,supercont1.863,0,409763,409763,119468156,119468156
chr1,21.535,no,supercont1.905,supercont1.905,0,376108,376108,119844264,119844264
chr1,21.535,no,supercont1.93,supercont1.93,0,2851803,2851803,122696067,122696067
chr1,21.535,no,supercont1.932,supercont1.932,0,371432,371432,123067499,123067499
chr1,21.535,yes,supercont1.97,supercont1.97a,0,104859,104859,123172358,123172358
chr1,21.535,no,supercont1.991,supercont1.991,0,301048,301048,123473406,123473406
chr1,21.535,no,supercont1.993,supercont1.993,0,306531,306531,123779937,123779937
chr1,24.396,yes,supercont1.1,supercont1.1a,0,419719,419719,124199656,124199656
chr1,24.396,no,supercont1.100,supercont1.100,0,2644574,2644574,126844230,126844230
chr1,24.396,no,supercont1.1002,supercont1.1002,0,296325,296325,127140555,127140555
chr1,24.396,no,supercont1.1162,supercont1.1162,0,224611,224611,127365166,127365166
chr1,24.396,no,supercont1.117,supercont1.117,0,2495114,2495114,129860280,129860280
chr1,24.396,no,supercont1.155,supercont1.155,0,2087417,2087417,131947697,131947697
chr1,24.396,no,supercont1.335,supercont1.335,0,1337774,1337774,133285471,133285471
chr1,24.396,no,supercont1.370,supercont1.370,0,1154612,1154612,134440083,134440083
chr1,24.396,no,supercont1.50,supercont1.50,0,3200609,3200609,137640692,137640692
chr1,24.396,no,supercont1.501,supercont1.501,0,855566,855566,138496258,138496258
chr1,24.396,no,supercont1.521,supercont1.521,0,849217,849217,139345475,139345475
chr1,24.396,yes,supercont1.67,supercont1.67a,0,1576315,1576315,140921790,140921790
chr1,24.396,no,supercont1.730,supercont1.730,0,582506,582506,141504296,141504296
chr1,24.396,yes,supercont1.88,supercont1.88b,1953303,2707514,754211,142258507,142258507
chr1,24.396,no,supercont1.906,supercont1.906,0,379794,379794,142638301,142638301
chr1,24.396,yes,supercont1.96,supercont1.96a,0,2239022,2239022,144877323,144877323
chr1,25.8735,no,supercont1.70,supercont1.70,0,2929944,2929944,147807267,147807267
chr1,27.351,no,supercont1.181,supercont1.181,0,1928061,1928061,149735328,149735328
chr1,34.336,yes,supercont1.252,supercont1.252a,0,672846,672846,150408174,150408174
chr1,40.366,no,supercont1.190,supercont1.190,0,1893275,1893275,152301449,152301449
chr1,40.366,no,supercont1.73,supercont1.73,0,2899062,2899062,155200511,155200511
chr1,45.369,no,supercont1.1142,supercont1.1142,0,244533,244533,155445044,155445044
chr1,45.369,no,supercont1.133,supercont1.133,0,2339188,2339188,157784232,157784232
chr1,45.369,no,supercont1.281,supercont1.281,0,1451347,1451347,159235579,159235579
chr1,45.369,yes,supercont1.293,supercont1.293a,0,404155,404155,159639734,159639734
chr1,45.369,no,supercont1.429,supercont1.429,0,1044207,1044207,160683941,160683941
chr1,45.369,yes,supercont1.465,supercont1.465a,0,105683,105683,160789624,160789624
chr1,45.369,no,supercont1.476,supercont1.476,0,938795,938795,161728419,161728419
chr1,45.369,no,supercont1.480,supercont1.480,0,904131,904131,162632550,162632550
chr1,45.369,no,supercont1.632,supercont1.632,0,653225,653225,163285775,163285775
chr1,45.369,no,supercont1.650,supercont1.650,0,647669,647669,163933444,163933444
chr1,45.369,no,supercont1.688,supercont1.688,0,597518,597518,164530962,164530962
chr1,45.369,no,supercont1.702,supercont1.702,0,614976,614976,165145938,165145938
chr1,45.369,no,supercont1.767,supercont1.767,0,523571,523571,165669509,165669509
chr1,45.369,no,supercont1.80,supercont1.80,0,2848369,2848369,168517878,168517878
chr1,45.369,no,supercont1.920,supercont1.920,0,366980,366980,168884858,168884858
chr1,49.189,no,supercont1.285,supercont1.285,0,1495757,1495757,170380615,170380615
chr1,49.189,no,supercont1.367,supercont1.367,0,1163131,1163131,171543746,171543746
chr1,49.189,yes,supercont1.82,supercont1.82b,2157704,2859376,701672,172245418,172245418
chr1,54.179,yes,supercont1.125,supercont1.125b,887329,2472376,1585047,173830465,173830465
chr1,54.179,yes,supercont1.22,supercont1.22b,2806911,4100794,1293883,175124348,175124348
chr1,54.179,no,supercont1.438,supercont1.438,0,1121788,1121788,176246136,176246136
chr1,54.179,no,supercont1.681,supercont1.681,0,626384,626384,176872520,176872520
chr2,0,yes,supercont1.145,supercont1.145b,1194763,2217386,1022623,1022623,177895143
chr2,0,no,supercont1.183,supercont1.183,0,1899110,1899110,2921733,179794253
chr2,0,yes,supercont1.20,supercont1.20a,0,2034360,2034360,4956093,181828613
chr2,0,no,supercont1.306,supercont1.306,0,1398852,1398852,6354945,183227465
chr2,0,no,supercont1.341,supercont1.341,0,1236773,1236773,7591718,184464238
chr2,0,no,supercont1.356,supercont1.356,0,1286069,1286069,8877787,185750307
chr2,0,no,supercont1.584,supercont1.584,0,838166,838166,9715953,186588473
chr2,8.657,no,supercont1.225,supercont1.225,0,1723990,1723990,11439943,188312463
chr2,8.657,no,supercont1.36,supercont1.36,0,3595646,3595646,15035589,191908109
chr2,8.657,no,supercont1.484,supercont1.484,0,972122,972122,16007711,192880231
chr2,8.657,no,supercont1.661,supercont1.661,0,667038,667038,16674749,193547269
chr2,8.657,no,supercont1.833,supercont1.833,0,442803,442803,17117552,193990072
chr2,11.517,no,supercont1.471,supercont1.471,0,920497,920497,18038049,194910569
chr2,11.517,no,supercont1.624,supercont1.624,0,843261,843261,18881310,195753830
chr2,13.34,no,supercont1.52,supercont1.52,0,3212514,3212514,22093824,198966344
chr2,15.163,no,supercont1.1047,supercont1.1047,0,291777,291777,22385601,199258121
chr2,15.163,no,supercont1.1054,supercont1.1054,0,256344,256344,22641945,199514465
chr2,15.163,no,supercont1.124,supercont1.124,0,2397010,2397010,25038955,201911475
chr2,15.163,yes,supercont1.293,supercont1.293b,796405,1411600,615195,25654150,202526670
chr2,15.163,no,supercont1.41,supercont1.41,0,3348252,3348252,29002402,205874922
chr2,15.163,no,supercont1.453,supercont1.453,0,997121,997121,29999523,206872043
chr2,15.163,no,supercont1.581,supercont1.581,0,760982,760982,30760505,207633025
chr2,15.163,no,supercont1.861,supercont1.861,0,436375,436375,31196880,208069400
chr2,21.697,yes,supercont1.291,supercont1.291a,0,615850,615850,31812730,208685250
chr2,21.697,no,supercont1.319,supercont1.319,0,1366586,1366586,33179316,210051836
chr2,21.697,yes,supercont1.77,supercont1.77b,1563158,2908877,1345719,34525035,211397555
chr2,23.127,no,supercont1.391,supercont1.391,0,1138338,1138338,35663373,212535893
chr2,27.234,yes,supercont1.32,supercont1.32c,329084,3742797,3413713,39077086,215949606
chr2,29.911,no,supercont1.1038,supercont1.1038,0,267450,267450,39344536,216217056
chr2,29.911,no,supercont1.15,supercont1.15,0,4333154,4333154,43677690,220550210
chr2,29.911,no,supercont1.195,supercont1.195,0,1866282,1866282,45543972,222416492
chr2,29.911,yes,supercont1.32,supercont1.32a,0,313409,313409,45857381,222729901
chr2,29.911,yes,supercont1.380,supercont1.380a,0,181043,181043,46038424,222910944
chr2,29.911,no,supercont1.720,supercont1.720,0,619506,619506,46657930,223530450
chr2,38.175,no,supercont1.210,supercont1.210,0,2048554,2048554,48706484,225579004
chr2,38.175,no,supercont1.257,supercont1.257,0,1653969,1653969,50360453,227232973
chr2,38.175,yes,supercont1.27,supercont1.27b,3264320,3799043,534723,50895176,227767696
chr2,41.035,no,supercont1.1179,supercont1.1179,0,185283,185283,51080459,227952979
chr2,41.035,no,supercont1.148,supercont1.148,0,2163576,2163576,53244035,230116555
chr2,41.035,yes,supercont1.58,supercont1.58a,0,198790,198790,53442825,230315345
chr2,43.896,no,supercont1.219,supercont1.219,0,1777957,1777957,55220782,232093302
chr2,43.896,no,supercont1.39,supercont1.39,0,3590018,3590018,58810800,235683320
chr2,43.896,no,supercont1.585,supercont1.585,0,724511,724511,59535311,236407831
chr2,46.756,no,supercont1.1012,supercont1.1012,0,313854,313854,59849165,236721685
chr2,46.756,no,supercont1.1059,supercont1.1059,0,270590,270590,60119755,236992275
chr2,46.756,no,supercont1.112,supercont1.112,0,2520184,2520184,62639939,239512459
chr2,46.756,no,supercont1.132,supercont1.132,0,2355619,2355619,64995558,241868078
chr2,46.756,no,supercont1.1332,supercont1.1332,0,120007,120007,65115565,241988085
chr2,46.756,yes,supercont1.145,supercont1.145a,0,522119,522119,65637684,242510204
chr2,46.756,yes,supercont1.2,supercont1.2a,0,510583,510583,66148267,243020787
chr2,46.756,yes,supercont1.204,supercont1.204b,1814925,1827752,12827,66161094,243033614
chr2,46.756,no,supercont1.268,supercont1.268,0,1568215,1568215,67729309,244601829
chr2,46.756,no,supercont1.277,supercont1.277,0,1632801,1632801,69362110,246234630
chr2,46.756,no,supercont1.324,supercont1.324,0,1391024,1391024,70753134,247625654
chr2,46.756,no,supercont1.330,supercont1.330,0,1458457,1458457,72211591,249084111
chr2,46.756,no,supercont1.363,supercont1.363,0,1232851,1232851,73444442,250316962
chr2,46.756,no,supercont1.377,supercont1.377,0,1204331,1204331,74648773,251521293
chr2,46.756,no,supercont1.381,supercont1.381,0,1184037,1184037,75832810,252705330
chr2,46.756,yes,supercont1.401,supercont1.401b,893482,1215658,322176,76154986,253027506
chr2,46.756,no,supercont1.482,supercont1.482,0,913351,913351,77068337,253940857
chr2,46.756,no,supercont1.517,supercont1.517,0,839867,839867,77908204,254780724
chr2,46.756,no,supercont1.588,supercont1.588,0,753446,753446,78661650,255534170
chr2,46.756,no,supercont1.604,supercont1.604,0,777527,777527,79439177,256311697
chr2,46.756,yes,supercont1.66,supercont1.66b,2899563,3011136,111573,79550750,256423270
chr2,46.756,no,supercont1.677,supercont1.677,0,634724,634724,80185474,257057994
chr2,46.756,no,supercont1.716,supercont1.716,0,574296,574296,80759770,257632290
chr2,46.756,no,supercont1.769,supercont1.769,0,556352,556352,81316122,258188642
chr2,46.756,no,supercont1.815,supercont1.815,0,490585,490585,81806707,258679227
chr2,46.756,no,supercont1.849,supercont1.849,0,445385,445385,82252092,259124612
chr2,46.756,no,supercont1.851,supercont1.851,0,472387,472387,82724479,259596999
chr2,46.756,no,supercont1.879,supercont1.879,0,422257,422257,83146736,260019256
chr2,46.756,no,supercont1.908,supercont1.908,0,368978,368978,83515714,260388234
chr2,46.756,no,supercont1.918,supercont1.918,0,362023,362023,83877737,260750257
chr2,46.756,no,supercont1.948,supercont1.948,0,348446,348446,84226183,261098703
chr2,48.1925,yes,supercont1.6,supercont1.6a,0,1037981,1037981,85264164,262136684
chr2,48.214,no,supercont1.422,supercont1.422,0,1181744,1181744,86445908,263318428
chr2,49.629,no,supercont1.1014,supercont1.1014,0,373147,373147,86819055,263691575
chr2,49.629,yes,supercont1.106,supercont1.106b,2545342,2597682,52340,86871395,263743915
chr2,49.629,no,supercont1.109,supercont1.109,0,2772702,2772702,89644097,266516617
chr2,49.629,no,supercont1.1110,supercont1.1110,0,245467,245467,89889564,266762084
chr2,49.629,no,supercont1.1149,supercont1.1149,0,203358,203358,90092922,266965442
chr2,49.629,no,supercont1.1169,supercont1.1169,0,220795,220795,90313717,267186237
chr2,49.629,no,supercont1.1175,supercont1.1175,0,211498,211498,90525215,267397735
chr2,49.629,no,supercont1.1268,supercont1.1268,0,145081,145081,90670296,267542816
chr2,49.629,no,supercont1.142,supercont1.142,0,2333031,2333031,93003327,269875847
chr2,49.629,no,supercont1.1441,supercont1.1441,0,87299,87299,93090626,269963146
chr2,49.629,no,supercont1.167,supercont1.167,0,2081902,2081902,95172528,272045048
chr2,49.629,no,supercont1.169,supercont1.169,0,1997338,1997338,97169866,274042386
chr2,49.629,no,supercont1.200,supercont1.200,0,1852562,1852562,99022428,275894948
chr2,49.629,no,supercont1.229,supercont1.229,0,1798060,1798060,100820488,277693008
chr2,49.629,no,supercont1.235,supercont1.235,0,1680400,1680400,102500888,279373408
chr2,49.629,no,supercont1.236,supercont1.236,0,1704329,1704329,104205217,281077737
chr2,49.629,no,supercont1.241,supercont1.241,0,1703019,1703019,105908236,282780756
chr2,49.629,no,supercont1.255,supercont1.255,0,1580955,1580955,107489191,284361711
chr2,49.629,no,supercont1.28,supercont1.28,0,3768427,3768427,111257618,288130138
chr2,49.629,no,supercont1.350,supercont1.350,0,1212686,1212686,112470304,289342824
chr2,49.629,no,supercont1.354,supercont1.354,0,1201341,1201341,113671645,290544165
chr2,49.629,no,supercont1.361,supercont1.361,0,1175926,1175926,114847571,291720091
chr2,49.629,yes,supercont1.364,supercont1.364a,0,269566,269566,115117137,291989657
chr2,49.629,no,supercont1.383,supercont1.383,0,1214826,1214826,116331963,293204483
chr2,49.629,no,supercont1.412,supercont1.412,0,1112897,1112897,117444860,294317380
chr2,49.629,no,supercont1.42,supercont1.42,0,3389925,3389925,120834785,297707305
chr2,49.629,no,supercont1.431,supercont1.431,0,1008374,1008374,121843159,298715679
chr2,49.629,no,supercont1.433,supercont1.433,0,997572,997572,122840731,299713251
chr2,49.629,no,supercont1.455,supercont1.455,0,940345,940345,123781076,300653596
chr2,49.629,yes,supercont1.46,supercont1.46b,2271880,3321798,1049918,124830994,301703514
chr2,49.629,no,supercont1.462,supercont1.462,0,933138,933138,125764132,302636652
chr2,49.629,no,supercont1.474,supercont1.474,0,955697,955697,126719829,303592349
chr2,49.629,no,supercont1.495,supercont1.495,0,916069,916069,127635898,304508418
chr2,49.629,no,supercont1.497,supercont1.497,0,891408,891408,128527306,305399826
chr2,49.629,no,supercont1.511,supercont1.511,0,892902,892902,129420208,306292728
chr2,49.629,no,supercont1.527,supercont1.527,0,805749,805749,130225957,307098477
chr2,49.629,no,supercont1.530,supercont1.530,0,806668,806668,131032625,307905145
chr2,49.629,no,supercont1.553,supercont1.553,0,820643,820643,131853268,308725788
chr2,49.629,no,supercont1.559,supercont1.559,0,771649,771649,132624917,309497437
chr2,49.629,no,supercont1.594,supercont1.594,0,711596,711596,133336513,310209033
chr2,49.629,no,supercont1.610,supercont1.610,0,700856,700856,134037369,310909889
chr2,49.629,no,supercont1.623,supercont1.623,0,711158,711158,134748527,311621047
chr2,49.629,no,supercont1.625,supercont1.625,0,722122,722122,135470649,312343169
chr2,49.629,no,supercont1.635,supercont1.635,0,671787,671787,136142436,313014956
chr2,49.629,no,supercont1.653,supercont1.653,0,645461,645461,136787897,313660417
chr2,49.629,no,supercont1.655,supercont1.655,0,643698,643698,137431595,314304115
chr2,49.629,no,supercont1.663,supercont1.663,0,613800,613800,138045395,314917915
chr2,49.629,no,supercont1.674,supercont1.674,0,640560,640560,138685955,315558475
chr2,49.629,no,supercont1.685,supercont1.685,0,595194,595194,139281149,316153669
chr2,49.629,yes,supercont1.78,supercont1.78b,2227503,2909025,681522,139962671,316835191
chr2,49.629,no,supercont1.793,supercont1.793,0,591304,591304,140553975,317426495
chr2,49.629,no,supercont1.799,supercont1.799,0,566430,566430,141120405,317992925
chr2,49.629,yes,supercont1.8,supercont1.8b,4590814,4905038,314224,141434629,318307149
chr2,49.629,no,supercont1.805,supercont1.805,0,594860,594860,142029489,318902009
chr2,49.629,no,supercont1.819,supercont1.819,0,524630,524630,142554119,319426639
chr2,49.629,no,supercont1.826,supercont1.826,0,463006,463006,143017125,319889645
chr2,49.629,no,supercont1.829,supercont1.829,0,581409,581409,143598534,320471054
chr2,49.629,no,supercont1.832,supercont1.832,0,517474,517474,144116008,320988528
chr2,49.629,no,supercont1.839,supercont1.839,0,450118,450118,144566126,321438646
chr2,49.629,no,supercont1.847,supercont1.847,0,492547,492547,145058673,321931193
chr2,49.629,no,supercont1.857,supercont1.857,0,418029,418029,145476702,322349222
chr2,49.629,no,supercont1.860,supercont1.860,0,479458,479458,145956160,322828680
chr2,49.629,no,supercont1.95,supercont1.95,0,2788767,2788767,148744927,325617447
chr2,49.629,no,supercont1.986,supercont1.986,0,314934,314934,149059861,325932381
chr2,49.644,yes,supercont1.48,supercont1.48c,2106094,3355344,1249250,150309111,327181631
chr2,49.644,no,supercont1.90,supercont1.90,0,2860138,2860138,153169249,330041769
chr2,51.0805,no,supercont1.11,supercont1.11,0,4706946,4706946,157876195,334748715
chr2,51.0805,no,supercont1.137,supercont1.137,0,2239969,2239969,160116164,336988684
chr2,52.525,no,supercont1.24,supercont1.24,0,4087421,4087421,164203585,341076105
chr2,52.525,no,supercont1.515,supercont1.515,0,857086,857086,165060671,341933191
chr2,52.532,no,supercont1.103,supercont1.103,0,2623108,2623108,167683779,344556299
chr2,52.532,no,supercont1.1058,supercont1.1058,0,255568,255568,167939347,344811867
chr2,52.532,no,supercont1.1064,supercont1.1064,0,318656,318656,168258003,345130523
chr2,52.532,yes,supercont1.108,supercont1.108a,0,1171445,1171445,169429448,346301968
chr2,52.532,no,supercont1.1082,supercont1.1082,0,242587,242587,169672035,346544555
chr2,52.532,no,supercont1.113,supercont1.113,0,2495981,2495981,172168016,349040536
chr2,52.532,no,supercont1.1168,supercont1.1168,0,191961,191961,172359977,349232497
chr2,52.532,yes,supercont1.12,supercont1.12a,0,561349,561349,172921326,349793846
chr2,52.532,yes,supercont1.122,supercont1.122b,369571,2401221,2031650,174952976,351825496
chr2,52.532,no,supercont1.1266,supercont1.1266,0,180683,180683,175133659,352006179
chr2,52.532,no,supercont1.1325,supercont1.1325,0,123962,123962,175257621,352130141
chr2,52.532,no,supercont1.1330,supercont1.1330,0,118789,118789,175376410,352248930
chr2,52.532,no,supercont1.135,supercont1.135,0,2306847,2306847,177683257,354555777
chr2,52.532,no,supercont1.1380,supercont1.1380,0,104976,104976,177788233,354660753
chr2,52.532,no,supercont1.1440,supercont1.1440,0,172649,172649,177960882,354833402
chr2,52.532,no,supercont1.151,supercont1.151,0,2103471,2103471,180064353,356936873
chr2,52.532,no,supercont1.154,supercont1.154,0,2089133,2089133,182153486,359026006
chr2,52.532,no,supercont1.157,supercont1.157,0,2064756,2064756,184218242,361090762
chr2,52.532,yes,supercont1.16,supercont1.16b,4225780,4402401,176621,184394863,361267383
chr2,52.532,yes,supercont1.172,supercont1.172a,0,675374,675374,185070237,361942757
chr2,52.532,yes,supercont1.19,supercont1.19a,0,23462,23462,185093699,361966219
chr2,52.532,yes,supercont1.196,supercont1.196b,1517575,1880505,362930,185456629,362329149
chr2,52.532,no,supercont1.198,supercont1.198,0,1849039,1849039,187305668,364178188
chr2,52.532,yes,supercont1.215,supercont1.215b,1062225,1803762,741537,188047205,364919725
chr2,52.532,yes,supercont1.228,supercont1.228a,0,430810,430810,188478015,365350535
chr2,52.532,no,supercont1.231,supercont1.231,0,1750236,1750236,190228251,367100771
chr2,52.532,no,supercont1.237,supercont1.237,0,1754865,1754865,191983116,368855636
chr2,52.532,no,supercont1.238,supercont1.238,0,1698524,1698524,193681640,370554160
chr2,52.532,no,supercont1.251,supercont1.251,0,1562530,1562530,195244170,372116690
chr2,52.532,no,supercont1.259,supercont1.259,0,1579804,1579804,196823974,373696494
chr2,52.532,no,supercont1.263,supercont1.263,0,1557198,1557198,198381172,375253692
chr2,52.532,no,supercont1.274,supercont1.274,0,1490669,1490669,199871841,376744361
chr2,52.532,no,supercont1.279,supercont1.279,0,1534177,1534177,201406018,378278538
chr2,52.532,no,supercont1.284,supercont1.284,0,1500899,1500899,202906917,379779437
chr2,52.532,no,supercont1.299,supercont1.299,0,1389101,1389101,204296018,381168538
chr2,52.532,yes,supercont1.3,supercont1.3a,0,288060,288060,204584078,381456598
chr2,52.532,no,supercont1.305,supercont1.305,0,1379243,1379243,205963321,382835841
chr2,52.532,yes,supercont1.31,supercont1.31a,0,2012292,2012292,207975613,384848133
chr2,52.532,yes,supercont1.310,supercont1.310b,1395237,1509481,114244,208089857,384962377
chr2,52.532,no,supercont1.314,supercont1.314,0,1358904,1358904,209448761,386321281
